date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:49	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2012:04:15%20GMT	https://billionday-sale.xyz/robots.txt		(from )
17:33:50	126637/126637	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2013:02:14%20GMT	https://billionday-sale.xyz/fkk/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/index.html	(from )
17:33:51	232874/232874	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202023%2000:56:54%20GMT	https://billionday-sale.xyz/fkk/assets/website/css/bootstrap.min.css	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/assets/website/css/bootstrap.min.css	(from https://billionday-sale.xyz/fkk/)
17:33:51	49608/49608	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202023%2000:57:28%20GMT	https://billionday-sale.xyz/fkk/assets/website/css/custom.css	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/assets/website/css/custom.css	(from https://billionday-sale.xyz/fkk/)
17:33:52	158/158	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Sep%202023%2000:54:56%20GMT	https://billionday-sale.xyz/fkk/assets/website/images/theme/bars.svg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/assets/website/images/theme/bars.svg	(from https://billionday-sale.xyz/fkk/)
17:33:52	7091/7091	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2000:59:26%20GMT	https://billionday-sale.xyz/fkk/assets/website/img/Q18Ifxk.png	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/assets/website/img/Q18Ifxk.png	(from https://billionday-sale.xyz/fkk/)
17:33:52	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2012:04:18%20GMT	https://billionday-sale.xyz/fkk/external452e452e452e452e452e.html?link=http://www.w3.org/2000/svg	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/external452e452e452e452e452e452e.html	(from https://billionday-sale.xyz/fkk/)
17:33:53	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:19%20GMT	https://billionday-sale.xyz/fkk/single-category/2	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-category/2	(from https://billionday-sale.xyz/fkk/)
17:33:53	25770/25770	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2015:53:58%20GMT	https://billionday-sale.xyz/fkk/single-category/2/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-category/2/index.html	(from https://billionday-sale.xyz/fkk/)
17:33:54	78824/78824	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2001:02:00%20GMT	https://billionday-sale.xyz/fkk/upload/categories/2594230907155317.png	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/categories/2594230907155317.png	(from https://billionday-sale.xyz/fkk/)
17:33:54	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:20%20GMT	https://billionday-sale.xyz/fkk/single-category/7	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-category/7	(from https://billionday-sale.xyz/fkk/)
17:33:55	49953/49953	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:20:04%20GMT	https://billionday-sale.xyz/fkk/single-category/7/	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-category/7/index.html	(from https://billionday-sale.xyz/fkk/)
17:33:55	17630/17630	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202023%2001:02:00%20GMT	https://billionday-sale.xyz/fkk/upload/categories/9840230907173846.png	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/upload/categories/9840230907173846.png	(from https://billionday-sale.xyz/fkk/)
17:33:56	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Dec%202023%2012:04:21%20GMT	https://billionday-sale.xyz/fkk/single-category/8	C:/Users/princ/Downloads/FlipKart/billionday-sale.xyz/fkk/single-category/8	(from https://billionday-sale.xyz/fkk/)
